name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Quintus Penella,Gregor Gomez,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinett Mcphate,Ely Kely,1,6,1,5,1,2,2,4,2,2,3,4,1,3,4,1,1,3,2,8,4,8,8,8,8,8,3,7,7,8,8,7,5,6,3,4,7,8,8,4,2,8,8,8,8,8,8,8,5,8,8,8,4,7,8,8,8,8,5,5
Ronda Aggis,Ely Kely,1,5,2,4,3,6,6,1,2,3,4,2,3,3,2,3,2,3,8,1,6,4,5,8,3,8,5,8,5,2,5,5,7,6,2,8,6,8,8,6,8,5,8,7,8,8,8,7,6,8,8,8,8,8,8,8,8,8,8,8
Caril Bayly,Ely Kely,3,3,1,2,1,3,1,1,3,1,5,1,1,2,3,4,3,5,7,7,8,7,5,5,3,5,6,6,6,2,5,3,4,5,4,5,7,8,8,8,8,8,8,8,8,8,7,7,8,8,6,7,4,8,8,8,8,8,8,8
Mari Lotterington,Ely Kely,4,1,2,5,3,2,4,1,5,6,2,2,1,2,5,5,2,2,7,7,6,4,5,6,6,8,4,7,7,7,8,5,8,3,6,4,8,7,7,7,8,8,7,5,8,8,7,8,6,8,7,8,5,8,8,8,8,8,8,8
Jacquelynn Savin,Ely Kely,1,2,5,5,1,2,3,3,3,3,7,6,5,2,2,6,2,5,8,5,5,3,8,8,5,7,4,4,8,6,7,8,8,5,6,4,8,8,8,8,6,4,8,8,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Ives Weddell,Ely Kely,4,2,2,2,1,4,3,3,1,2,5,2,3,2,5,1,3,1,8,8,8,4,7,7,4,7,6,4,3,8,6,7,4,1,6,3,5,8,5,3,8,8,8,8,8,8,6,8,8,5,4,6,8,6,8,8,8,8,8,8
Gerda Yuille,Ely Kely,3,4,2,2,3,4,5,5,5,5,2,3,6,2,1,6,4,5,6,6,8,5,3,2,6,3,8,7,4,7,7,8,4,3,8,5,6,8,8,8,8,5,8,8,4,8,6,8,7,5,8,8,8,6,8,8,8,8,8,8
Pyotr De Zuani,Trixie Orange,1,3,4,2,2,2,3,1,3,6,2,6,1,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vince Scott,Trixie Orange,1,1,4,3,3,4,3,4,2,2,2,1,1,4,5,2,3,3,8,5,7,6,5,4,3,8,7,8,7,8,5,8,7,1,6,4,8,8,8,7,8,8,8,8,8,8,8,8
Kellie Althorp,Trixie Orange,3,4,1,1,5,2,2,3,2,6,3,4,1,2,1,4,1,7,5,1,4,2,4,8,6,8,5,5,7,7,8,5,7,6,4,4,8,6,6,8,5,8,3,7,8,8,8,6
Aida Bothams,Trixie Orange,4,2,2,3,3,1,7,6,3,1,1,1,4,2,2,1,4,1,3,7,8,8,4,7,2,6,4,7,1,3,4,4,4,3,5,8,8,8,8,8,6,8,8,8,8,8,8,8
Nettie Civitillo,Trixie Orange,5,4,3,1,1,6,2,5,2,2,1,2,1,2,3,3,3,3,5,8,5,2,8,5,4,5,8,6,7,5,4,3,2,5,8,8,8,8,7,6,6,6,8,8,8,7,3,7
Bernadette Gerardi,Trixie Orange,6,1,3,2,2,3,2,5,4,1,4,3,1,4,1,3,5,2,5,8,8,5,5,7,8,8,7,8,3,8,1,8,5,8,8,2,7,8,8,7,8,7,8,8,8,8,8,8
Teddy Ham,Trixie Orange,4,4,2,1,4,1,4,4,5,3,4,2,3,3,3,4,4,8,5,2,5,3,3,7,5,6,4,8,1,8,4,6,6,2,6,7,8,7,8,8,7,5,8,7,8,8,8,8
Ivory Linnemann,Trixie Orange,2,1,3,1,3,4,1,3,1,4,2,1,4,1,2,4,4,6,4,8,1,7,6,7,4,7,7,6,4,8,8,8,2,3,8,7,7,8,8,8,8,8,8,8,8,8,8,7
Onida Tregear,Trixie Orange,6,3,1,5,2,2,5,2,5,1,6,4,3,2,1,2,5,4,8,3,8,7,8,3,8,8,4,8,3,8,8,2,3,3,6,8,8,2,8,7,8,8,8,8,8,8,8,8
Jacki Pinkstone,Trixie Orange,2,1,2,2,4,2,4,1,4,3,2,1,2,2,3,3,5,3,4,3,6,8,5,3,3,1,5,5,7,5,5,6,3,4,8,4,6,8,8,8,5,8,7,8,8,8,8,5
Kaleb Cappel,Trixie Orange,4,5,5,4,1,3,4,3,1,2,3,2,5,3,1,4,1,3,8,1,7,8,4,8,5,5,7,6,8,4,2,4,4,5,8,4,8,8,8,8,8,7,8,8,8,5,6,8
Gussy Mathias,John Sandbox,6,3,2,4,5,6,6,2,7,6,1,2,3,5,3,1,3,2,6,6,5,1,5,3,7,7,8,3,3,8,6,8,2,8,3,2,6,8,5,8,8,8,4,8,5,8,6,8,8,8,8,5,8,4,8,8,8,8,6,8
Shawn Bowmer,John Sandbox,8,2,2,1,3,5,1,2,2,1,8,3,1,5,2,2,1,1,4,7,6,4,6,8,8,8,4,7,6,4,7,8,4,5,4,5,8,8,7,8,8,8,8,8,8,8,8,8,8,8,7,7,8,7,8,7,8,8,8,8
Arda Disbrow,John Sandbox,2,2,4,2,2,4,5,3,5,2,1,1,7,6,1,3,4,2,6,7,7,4,5,6,8,4,4,4,8,6,8,7,8,5,7,8,5,6,8,8,5,8,7,8,8,8,5,8,6,8,3,8,8,8,8,8,8,8,8,8
El Durante,John Sandbox,2,2,5,4,3,1,3,5,3,2,3,1,3,4,2,1,2,4,8,8,8,6,4,8,8,2,6,2,6,3,7,7,2,8,3,8,8,8,4,8,8,3,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Dionysus Garter,John Sandbox,3,2,1,3,4,5,4,1,3,2,6,1,3,2,2,2,1,3,7,7,6,8,4,8,6,7,2,8,4,4,7,2,5,4,2,8,7,8,8,8,7,8,8,5,6,6,8,6,7,6,8,6,8,8,8,8,8,8,8,8
Connor Gegg,John Sandbox,1,1,1,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrie Schruurs,John Sandbox,1,5,2,1,2,2,3,1,5,7,3,5,2,3,3,5,2,4,8,6,5,8,4,5,5,8,3,5,8,4,3,7,6,8,6,7,8,8,5,8,8,8,8,7,6,5,8,7,8,8,8,8,5,8,8,8,8,8,8,8
Fletcher Ayllett,John Sandbox,1,3,2,4,2,2,3,3,2,4,4,4,1,1,4,3,4,1,7,6,6,8,7,6,4,8,8,8,4,4,8,8,7,6,8,6,2,8,8,8,6,8,8,8,5,8,8,6,8,8,8,6,8,8,8,8,8,8,8,8
Slade Cannavan,John Sandbox,5,4,2,6,3,4,5,3,4,6,2,3,3,2,3,3,3,1,4,5,7,8,7,8,8,3,6,6,8,5,7,7,8,8,6,2,7,8,8,8,8,8,8,8,8,8,8,4,7,8,8,4,6,8,8,8,2,8,8,8
Bert Spall,John Sandbox,3,3,6,3,7,1,3,1,3,3,4,2,1,1,3,3,4,3,6,8,8,6,6,3,8,8,5,8,3,6,6,3,5,5,7,3,8,7,6,7,6,8,7,4,8,6,8,7,5,4,8,6,8,8,8,8,8,8,8,8
Denyse Worley,Edward Reinhart,4,3,2,1,6,1,3,1,5,5,1,4,5,2,5,4,1,5,3,8,5,3,6,3,3,8,5,5,6,3,4,8,3,5,6,8,7,8,8,8,8,8,8,8,5,8,8,8
Jard Antonowicz,Edward Reinhart,1,5,5,3,2,3,2,3,4,2,1,3,1,3,4,2,2,5,8,5,7,1,4,5,6,6,8,8,5,7,4,3,4,7,5,8,8,8,7,7,6,8,5,8,8,8,8,8
Burtie Clubley,Edward Reinhart,7,1,5,1,3,4,2,4,2,4,1,3,2,2,5,2,5,3,6,8,3,5,8,2,8,8,8,7,3,8,4,5,3,4,8,4,8,8,8,8,6,5,8,7,5,8,7,8
Idaline Gadeaux,Edward Reinhart,2,3,4,1,4,4,6,5,2,2,1,2,2,5,2,3,3,1,3,3,6,8,8,3,6,4,8,6,4,6,6,4,7,4,4,1,5,8,6,5,6,4,8,7,8,8,8,7
Gaspard Dunn,Edward Reinhart,1,1,3,4,3,4,1,1,3,4,2,2,1,1,4,3,3,4,6,8,3,7,7,5,8,5,2,8,8,7,8,4,8,7,4,5,4,8,8,8,8,8,8,2,8,8,8,7
Reg Mcreynold,Edward Reinhart,1,3,2,1,2,3,4,4,3,3,3,1,3,2,6,3,4,1,8,3,7,6,8,1,7,4,8,6,4,5,7,5,6,2,8,3,3,6,8,8,8,8,6,8,8,8,8,8
Penni Grioli,Edward Reinhart,3,3,2,5,4,4,3,1,2,4,1,1,2,4,3,2,3,4,1,2,7,6,7,5,8,4,6,7,8,6,8,8,6,7,8,8,8,8,8,8,8,6,7,8,8,7,8,4
Kial Gowdy,Edward Reinhart,3,2,3,3,1,2,1,2,4,5,3,5,3,4,7,2,7,1,8,8,6,2,1,4,2,2,7,1,1,8,6,3,8,3,4,6,8,6,8,5,8,8,6,8,6,8,8,8
Haskell Mcdonnell,Edward Reinhart,5,1,1,4,4,1,2,4,1,3,6,1,1,5,4,1,2,3,8,3,5,6,8,7,5,2,5,8,4,3,3,7,1,6,4,7,8,7,8,8,5,6,8,8,8,8,8,8
Jeffy Dudding,Edward Reinhart,2,3,4,2,2,3,5,2,5,2,1,2,1,2,3,4,1,2,5,5,4,8,8,7,6,5,8,5,7,8,7,6,8,5,3,6,8,8,8,8,8,8,6,8,8,6,6,7
Damaris Vallance,Edward Reinhart,4,5,3,2,3,2,3,2,5,4,1,1,6,3,2,3,1,4,8,5,8,8,4,8,8,3,1,3,8,5,4,4,8,4,5,4,8,7,7,8,8,8,8,7,8,8,8,8
Stacee Kidson,Edward Reinhart,2,3,2,3,1,3,5,5,1,4,4,1,2,3,3,3,1,6,4,7,2,6,5,6,6,6,4,7,5,8,7,2,5,8,7,7,8,8,8,8,8,8,8,7,8,8,6,8
Anica Vallis,Edward Reinhart,1,5,4,2,7,4,5,4,2,4,3,6,4,4,5,3,2,8,6,8,8,6,6,3,3,6,8,8,4,7,8,7,5,5,8,5,7,8,8,6,8,6,8,4,8,8,8,8
Emmey Wadforth,Lucy Foster,4,1,7,3,2,1,1,1,3,2,1,4,2,3,2,2,2,1,8,5,4,3,8,5,2,4,8,6,7,3,3,2,4,1,4,4,8,8,7,8,8,4,5,7,5,5,8,8,5,6,8,8,8,8,8,7,8,8,8,8
Sayer Weedon,Lucy Foster,1,5,7,1,3,2,6,1,5,3,1,3,4,5,4,2,3,1,7,2,8,8,7,5,4,8,4,8,8,8,3,5,2,4,6,2,3,7,6,7,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8
Norbie Iacobucci,Lucy Foster,2,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynnell Samber,Lucy Foster,4,5,1,4,5,2,1,3,3,5,3,4,4,4,3,3,3,3,5,6,8,2,5,7,6,5,6,5,8,7,5,6,8,5,2,8,3,8,5,3,6,8,8,8,7,7,8,8,8,8,6,8,8,8,6,8,8,6,8,8
Hogan Bushnell,Lucy Foster,1,3,3,2,5,4,4,2,5,4,2,3,1,3,3,8,8,3,6,2,5,4,4,7,8,5,4,7,8,8,5,7,5,5,5,3,7,8,3,4,7,8,8,7,8,4,8,8,8,8,8,8,8,8,8,8,8,8,5,8
Scott Duny,Lucy Foster,1,7,5,1,1,3,3,2,2,3,4,1,2,5,1,2,1,3,7,7,7,6,5,4,7,7,6,7,6,8,5,2,7,7,3,5,8,5,5,8,7,8,8,8,8,8,4,4,8,8,8,2,8,8,8,8,8,8,8,8
Viv Newby,Lucy Foster,3,3,1,3,2,5,5,1,1,4,4,1,4,7,1,2,3,4,5,3,7,8,7,8,6,8,7,5,4,7,5,8,8,3,3,2,8,6,3,8,8,8,8,6,7,5,8,8,8,8,8,8,8,4,8,8,8,8,8,8
Louise Dowse,Lucy Foster,3,1,7,1,1,4,3,5,6,2,6,4,2,2,6,3,4,2,7,5,7,4,6,8,8,2,4,8,4,5,6,3,8,6,4,6,8,8,8,5,8,8,6,8,8,7,8,8,8,5,5,8,8,8,8,8,8,8,8,8
Haroun Mccrohon,Lucy Foster,2,5,3,6,5,4,3,2,1,3,1,2,1,3,3,2,6,1,4,4,2,8,8,8,7,8,7,8,3,8,7,8,7,7,7,3,7,8,8,8,5,8,8,5,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
Devan Claricoats,Lucy Foster,3,2,2,4,4,4,2,2,2,1,5,3,2,3,5,1,1,2,5,8,5,8,5,6,5,7,3,6,6,5,5,4,8,7,8,1,8,8,8,8,7,8,6,8,8,8,8,4,7,8,8,8,8,5,8,8,8,8,7,8
Matthaeus Audas,Lucy Foster,5,4,3,3,3,2,1,1,1,4,2,4,2,6,5,1,4,5,8,5,6,4,8,2,2,8,7,8,6,4,8,5,1,6,4,7,8,7,8,7,8,7,7,8,8,8,8,8,8,8,8,5,8,4,8,8,8,8,8,8
Halsey Broader,Lucy Foster,2,1,1,6,3,2,6,6,3,3,2,1,3,6,7,5,2,1,7,6,6,6,8,3,2,5,7,6,6,4,7,4,8,3,3,8,8,8,8,6,8,8,8,5,8,8,8,8,8,8,6,8,8,8,5,8,8,8,8,8
Rina Soffe,Lucy Foster,4,3,4,4,2,5,4,3,4,3,4,3,2,3,2,2,2,2,8,8,8,5,5,5,4,5,8,6,4,2,8,6,3,2,6,3,4,8,8,3,7,7,8,6,8,8,6,8,8,3,8,4,8,7,8,8,8,8,8,7
Marcy Treat,Gina Cartwright,6,5,2,2,4,5,5,3,4,3,2,4,3,1,2,2,2,6,3,4,7,6,6,8,6,6,2,8,8,8,3,7,2,6,4,6,5,8,8,7,8,5,8,8,8,7,8,7
Heindrick Mckiddin,Gina Cartwright,5,3,2,3,3,3,1,3,3,1,2,3,5,2,7,1,4,5,5,5,8,5,5,2,4,4,8,8,1,8,5,7,6,8,4,6,8,6,8,6,7,8,5,7,5,8,5,4
Danella Winkett,Gina Cartwright,6,3,6,1,1,3,3,7,1,2,5,1,3,1,2,3,4,1,3,8,4,7,5,5,3,4,4,1,7,5,2,5,7,7,8,8,3,7,8,6,8,6,8,8,8,8,8,6
Darrin Perrelle,Gina Cartwright,3,1,2,4,6,2,3,5,7,6,2,3,7,2,2,5,3,2,6,2,6,7,3,8,8,5,4,2,6,6,5,8,8,8,7,5,8,8,8,5,6,6,3,8,2,7,8,8
Janelle Forbear,Gina Cartwright,1,4,1,3,4,6,2,1,2,3,4,2,3,5,2,3,1,2,8,8,8,1,8,4,6,7,7,7,7,7,8,8,4,7,6,4,8,8,8,7,8,6,8,8,8,7,8,8
Sorcha Argue,Gina Cartwright,1,4,2,4,5,6,2,1,1,2,6,6,3,5,3,2,2,2,8,3,8,7,8,7,4,6,7,6,5,7,4,6,8,5,5,6,8,8,6,8,8,8,6,8,8,8,8,8
Toddie Rubanenko,Gina Cartwright,6,1,3,4,3,1,1,1,4,4,6,1,3,2,3,1,3,4,5,6,4,1,8,3,8,8,7,8,7,8,8,6,5,3,7,8,8,8,8,8,8,6,8,8,6,7,8,7
Selby Floyd,Gina Cartwright,4,4,1,4,5,3,2,5,4,3,3,2,2,4,5,4,1,3,8,6,7,8,4,6,8,7,8,7,1,7,3,7,2,5,6,6,8,8,8,8,8,4,6,8,8,8,8,6
Claudio Handrick,Gina Cartwright,4,3,3,1,4,2,1,3,4,2,1,3,1,1,3,4,3,1,7,8,6,6,5,6,8,6,7,8,7,7,8,8,5,4,5,7,8,8,8,4,8,7,8,6,4,4,8,8
Kingston Comsty,Gina Cartwright,2,3,5,4,5,3,2,8,4,2,2,4,3,4,3,3,7,1,7,5,7,6,5,8,4,8,8,8,3,5,7,6,8,4,5,8,8,8,8,8,8,7,8,8,5,8,8,5
Benedikt Cohani,Gina Cartwright,2,1,2,4,1,8,6,1,4,3,1,1,4,6,3,6,3,1,5,6,7,8,8,4,8,8,7,6,6,7,5,8,6,7,3,8,8,8,7,8,5,8,8,8,8,8,8,8
Morgen Lilywhite,Gina Cartwright,3,2,4,4,4,4,2,5,1,4,3,3,3,4,2,1,3,4,6,8,8,5,4,8,6,7,8,5,6,2,6,5,8,5,8,8,5,8,8,8,7,8,7,8,8,8,6,8
Job Restall,Gina Cartwright,3,3,2,2,2,4,2,3,1,5,3,4,1,4,3,2,3,6,6,7,6,8,2,6,8,8,6,6,6,7,8,4,4,6,5,4,8,8,8,6,8,4,8,8,8,7,8,8
Wilhelm Jouanet,Gina Cartwright,1,2,4,3,3,2,5,2,5,4,2,1,1,5,4,3,3,6,7,8,6,8,4,6,8,8,8,6,8,6,8,3,7,3,4,8,6,6,8,7,6,6,8,8,8,8,8,7
Malvina Whiteford,Lucy Foster,3,2,2,6,3,1,2,4,2,2,5,2,1,2,7,2,2,2,8,5,6,7,7,5,6,5,6,3,4,5,6,6,5,7,7,1,7,8,8,4,5,8,8,8,8,7,7,7,8,8,8,6,8,8,8,8,8,6,8,8
Belle Catherall,Lucy Foster,3,5,4,4,1,1,3,8,2,5,1,1,3,1,2,5,1,4,4,8,7,6,8,5,8,5,4,4,1,7,4,7,5,6,5,4,8,8,8,8,8,6,4,2,6,8,8,8,8,8,8,8,4,7,8,7,8,8,8,8
Ortensia Winscomb,Lucy Foster,2,2,7,1,2,2,1,5,5,3,4,2,1,3,6,1,2,4,3,5,3,6,6,8,8,5,7,2,6,8,2,8,6,6,7,5,8,7,8,8,8,6,6,8,8,8,4,8,8,8,8,8,1,8,8,8,8,8,8,8
Staffard Load,Lucy Foster,3,4,3,2,4,2,1,8,3,2,2,4,3,7,2,2,2,5,8,5,4,8,8,4,6,6,4,4,5,5,6,7,7,3,8,5,8,8,8,3,8,8,8,7,8,8,8,8,6,8,8,8,4,7,8,8,8,8,8,8
Bowie Endersby,Lucy Foster,4,5,1,2,2,3,3,6,1,4,2,3,3,6,2,4,4,1,6,8,8,5,5,5,3,8,7,2,8,8,7,7,6,4,4,7,8,3,8,7,5,8,8,3,7,6,8,8,6,8,8,5,8,8,8,8,8,8,8,5
Tonye Ambrogio,Lucy Foster,3,5,3,4,1,2,2,1,3,4,2,5,1,1,3,5,1,2,4,7,8,8,2,4,8,6,5,8,7,8,8,5,5,4,6,5,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Celina Polley,Lucy Foster,2,3,3,6,2,2,2,2,7,3,1,5,2,3,3,8,3,2,6,7,7,6,8,6,8,8,4,6,5,8,5,6,4,6,8,6,8,2,8,8,8,8,8,6,8,8,8,8,8,6,4,5,8,6,8,8,8,8,8,8
Muhammad Linn,Lucy Foster,3,3,2,3,7,1,3,2,4,1,3,4,1,3,2,3,5,1,8,8,4,5,3,8,6,7,6,3,8,1,2,8,8,8,7,7,6,8,7,5,5,8,8,6,8,8,7,8,7,8,8,1,8,4,8,8,8,7,8,8
Farica Harding,Lucy Foster,4,4,1,3,1,4,5,4,6,5,3,4,3,3,2,3,2,4,8,7,6,6,5,5,3,8,5,8,6,7,5,8,8,2,5,8,8,8,8,8,8,8,8,7,5,7,8,7,8,8,8,4,8,7,8,8,8,8,8,8
Marquita Forrington,Lucy Foster,1,1,4,1,4,1,5,6,1,1,1,3,5,7,5,3,4,5,8,8,3,6,6,5,5,3,4,8,5,6,5,8,6,4,2,8,6,8,8,8,5,8,8,8,6,8,8,8,7,4,8,8,8,8,8,8,8,8,8,8
Muffin Jandel,Lucy Foster,5,4,3,5,3,1,3,3,5,2,1,3,1,1,2,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadya Pineaux,Lucy Foster,5,2,1,4,2,4,3,4,5,1,1,3,5,5,6,4,1,1,6,6,2,8,3,8,8,3,7,4,8,8,8,8,8,8,5,4,7,8,8,6,8,8,8,4,8,8,8,8,8,6,6,8,8,8,8,8,8,8,8,8
Dewitt Milborn,Lucy Foster,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levy Standage,Lucy Foster,1,3,8,2,2,5,2,6,4,5,2,7,3,2,3,2,1,3,8,3,8,1,6,4,8,8,1,8,7,6,8,8,8,4,5,8,8,8,8,8,8,5,8,8,8,8,8,8,7,3,8,8,8,8,8,8,8,8,7,8
Silvain Kuhwald,Lucy Foster,4,4,1,4,5,4,3,5,1,5,3,4,3,3,5,1,4,2,8,4,3,6,4,6,5,6,4,6,7,6,6,6,6,5,7,3,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,8,4,8,8,8,8,8,8,8
Aguie Morrad,Lucy Foster,6,2,1,5,6,5,4,1,5,5,4,3,1,2,1,3,5,1,7,8,8,3,4,5,8,5,7,4,4,8,1,6,7,5,8,5,3,6,6,8,8,8,8,5,8,8,8,8,8,7,8,8,8,8,8,8,8,6,8,8
Bertram Esgate,Lucy Foster,2,4,3,1,4,3,3,2,3,1,4,2,3,8,1,2,1,1,8,3,7,1,8,6,5,8,3,6,8,5,3,7,3,7,7,8,8,5,7,8,8,8,8,6,5,5,4,7,8,8,8,4,8,8,8,7,8,8,8,8
Marlon Reside,Lucy Foster,5,2,1,3,1,6,8,5,3,1,4,2,1,3,5,3,1,4,4,6,5,7,4,4,7,6,7,4,4,7,8,6,6,6,2,5,6,6,8,8,6,8,8,8,8,8,8,8,8,5,4,8,8,8,8,8,8,8,8,8
Micheal Di Matteo,Lucy Foster,2,3,3,1,3,5,2,4,1,1,5,1,2,4,4,3,1,3,3,8,7,8,8,5,1,6,5,3,7,8,8,8,5,3,7,6,8,8,3,7,8,8,4,3,8,7,6,8,8,5,8,8,6,8,8,8,6,8,8,8
Regina Calver,Lucy Foster,3,4,2,7,6,1,2,3,6,5,2,1,3,2,2,5,3,7,4,4,8,1,7,8,5,6,5,4,8,3,8,5,7,4,8,8,4,8,8,3,7,8,7,8,8,8,8,8,6,8,8,7,8,8,8,8,8,8,8,8
Jodie Kaygill,Lucy Foster,3,2,1,2,4,1,2,3,3,3,3,1,2,1,2,7,3,2,3,6,8,2,4,8,7,5,5,3,8,4,8,8,5,8,4,6,8,4,8,8,4,7,8,8,8,8,7,8,7,8,8,8,8,8,8,8,8,8,8,6
Ingunna Adin,Lucy Foster,3,1,4,4,1,3,1,3,3,3,2,2,4,4,3,1,8,1,4,8,7,6,8,5,4,8,6,8,7,4,8,7,8,3,4,7,7,3,8,8,8,6,7,8,8,8,5,6,4,8,8,8,6,8,8,8,8,8,8,8
Carlos Gerckens,Lucy Foster,1,3,4,4,3,2,1,2,4,5,3,7,4,2,2,1,3,1,4,4,6,7,8,8,4,5,7,8,4,6,3,8,3,8,4,6,6,8,5,6,6,7,8,6,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8
Sherline Cudihy,Lucy Foster,3,4,4,8,1,4,3,6,4,4,3,4,1,2,2,3,1,4,6,8,6,5,8,2,5,4,8,3,8,5,5,7,5,8,5,2,8,5,8,7,7,8,8,8,8,6,5,8,8,8,8,8,5,8,8,8,8,8,8,8
Trudie Kiellor,Lucy Foster,5,3,5,7,2,4,3,1,2,4,3,2,2,4,1,3,2,3,4,6,5,3,8,4,3,5,6,5,8,4,2,8,2,8,8,6,3,6,8,7,8,8,6,8,8,8,8,8,6,8,8,8,7,8,8,8,8,8,8,8
Edvard Northen,Lucy Foster,3,5,4,3,2,7,5,3,1,3,1,4,2,2,3,5,1,2,7,7,4,8,6,6,6,7,4,2,8,4,8,2,6,8,3,2,8,8,7,8,6,8,3,8,7,6,7,8,8,6,6,8,7,8,8,8,8,8,8,8
Alwin Bullman,Lucy Foster,2,2,4,2,3,3,5,2,1,3,1,2,6,4,5,1,2,3,5,5,3,6,5,8,8,3,8,8,3,6,5,8,6,6,8,4,8,3,8,5,5,8,8,8,5,8,4,5,7,8,8,8,5,8,8,8,8,8,8,8
Bob Rogerson,Lucy Foster,2,4,1,3,3,5,2,3,2,3,8,1,6,3,2,5,4,1,6,5,5,5,5,8,4,3,5,4,5,2,7,6,2,3,8,7,5,8,8,6,8,8,8,5,8,8,3,8,7,8,4,8,8,8,8,8,8,8,8,8
Kerr Coucha,Lucy Foster,3,5,3,2,3,5,2,5,4,3,3,4,3,3,4,4,5,5,6,5,8,4,2,8,8,3,6,5,7,5,8,5,8,8,6,2,8,6,8,5,8,6,8,8,8,7,8,7,5,8,5,8,7,8,8,8,8,8,8,8
Nancie Mehaffey,Lucy Foster,4,4,5,3,2,1,1,5,6,1,1,1,3,5,2,2,8,2,8,8,6,8,8,7,6,5,4,6,4,7,4,5,8,6,5,5,8,8,8,8,8,8,8,4,8,8,8,7,8,8,8,5,8,8,8,8,8,8,8,8
Violet Luscombe,Lucy Foster,4,7,2,1,4,2,4,5,6,4,3,5,3,8,4,3,4,5,7,8,8,8,5,7,8,8,8,5,5,8,8,8,8,6,7,6,4,8,8,7,6,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Cora Klausewitz,Lucy Foster,3,1,2,2,3,2,1,2,3,1,4,3,2,5,2,1,4,3,6,7,5,8,8,3,7,6,6,8,4,6,7,8,5,5,6,8,6,8,2,8,6,8,8,8,6,8,8,8,8,8,8,7,8,7,8,8,8,8,8,8
Scarface Gallihaulk,Lucy Foster,8,2,2,1,2,1,3,2,7,3,2,7,1,5,2,3,4,2,4,8,8,8,7,6,8,6,8,3,7,8,4,5,4,7,2,8,8,8,5,8,5,8,7,6,8,8,6,8,8,8,8,8,4,8,8,8,7,8,8,8
Anna Lamperti,Lucy Foster,5,3,2,2,5,4,3,2,1,3,2,3,1,1,4,5,4,5,8,7,8,8,8,8,7,8,4,8,8,8,6,7,7,4,4,4,6,8,7,6,8,4,8,8,8,5,6,8,8,8,8,8,8,7,8,8,8,8,8,7
Collin Commins,Lucy Foster,2,4,4,4,5,1,2,2,3,6,3,3,2,2,3,2,3,4,4,5,8,8,6,6,6,6,3,8,8,2,7,7,7,4,8,4,8,8,8,8,8,8,8,4,8,8,8,8,8,8,4,8,6,8,8,8,8,8,5,8
Chrissy Bartholin,Lucy Foster,2,4,1,3,4,3,2,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baird Reynoollds,Lucy Foster,4,3,1,1,1,5,2,3,1,2,1,3,5,3,1,3,3,1,2,8,3,4,8,8,8,8,6,3,3,6,4,6,1,8,7,8,5,8,8,7,8,8,8,7,4,7,8,1,8,8,8,7,8,5,8,8,8,8,8,8
Vasili Cartledge,Lucy Foster,3,2,3,2,2,5,4,4,1,3,1,4,1,4,6,2,1,2,7,8,5,5,3,2,6,4,4,3,5,4,5,7,5,3,3,7,8,8,8,8,8,3,8,8,8,7,8,8,8,8,8,8,4,8,8,8,8,8,8,8
Otes Kemster,Gina Cartwright,1,3,2,4,6,2,1,1,6,4,3,3,4,8,2,4,7,1,6,4,8,8,6,8,8,5,6,8,3,8,6,7,3,6,8,8,8,8,8,6,5,8,8,8,8,8,8,8,8,8,8,8,8,7,6,8,8,8,8,8
